BS.pilon.polished.v3.ST170922	Bacillus subtilis
35157	Cryptococcus neoformans
34982	Cryptococcus neoformans
34659	Cryptococcus neoformans
34644	Cryptococcus neoformans
35029	Cryptococcus neoformans
35048	Cryptococcus neoformans
35244	Cryptococcus neoformans
35811	Cryptococcus neoformans
35594	Cryptococcus neoformans
34805	Cryptococcus neoformans
35117	Cryptococcus neoformans
35016	Cryptococcus neoformans
33707	Cryptococcus neoformans
35721	Cryptococcus neoformans
35671	Cryptococcus neoformans
33891	Cryptococcus neoformans
35053	Cryptococcus neoformans
33775	Cryptococcus neoformans
34091	Cryptococcus neoformans
35626	Cryptococcus neoformans
33944	Cryptococcus neoformans
34089	Cryptococcus neoformans
34770	Cryptococcus neoformans
34730	Cryptococcus neoformans
33745	Cryptococcus neoformans
35278	Cryptococcus neoformans
34498	Cryptococcus neoformans
35580	Cryptococcus neoformans
34553	Cryptococcus neoformans
35379	Cryptococcus neoformans
35717	Cryptococcus neoformans
35225	Cryptococcus neoformans
35436	Cryptococcus neoformans
35555	Cryptococcus neoformans
34525	Cryptococcus neoformans
33999	Cryptococcus neoformans
34833	Cryptococcus neoformans
35354	Cryptococcus neoformans
35530	Cryptococcus neoformans
30463	Cryptococcus neoformans
34357	Cryptococcus neoformans
34248	Cryptococcus neoformans
35045	Cryptococcus neoformans
34222	Cryptococcus neoformans
30341	Cryptococcus neoformans
35593	Cryptococcus neoformans
33705	Cryptococcus neoformans
35520	Cryptococcus neoformans
34552	Cryptococcus neoformans
34799	Cryptococcus neoformans
35686	Cryptococcus neoformans
34914	Cryptococcus neoformans
9543	Cryptococcus neoformans
35435	Cryptococcus neoformans
35528	Cryptococcus neoformans
34908	Cryptococcus neoformans
35240	Cryptococcus neoformans
34924	Cryptococcus neoformans
35020	Cryptococcus neoformans
33792	Cryptococcus neoformans
35231	Cryptococcus neoformans
35306	Cryptococcus neoformans
35692	Cryptococcus neoformans
33740	Cryptococcus neoformans
35574	Cryptococcus neoformans
35464	Cryptococcus neoformans
33886	Cryptococcus neoformans
33817	Cryptococcus neoformans
34508	Cryptococcus neoformans
35273	Cryptococcus neoformans
35384	Cryptococcus neoformans
35760	Cryptococcus neoformans
35286	Cryptococcus neoformans
34678	Cryptococcus neoformans
35135	Cryptococcus neoformans
35479	Cryptococcus neoformans
35000	Cryptococcus neoformans
34738	Cryptococcus neoformans
35345	Cryptococcus neoformans
35191	Cryptococcus neoformans
34898	Cryptococcus neoformans
32036	Cryptococcus neoformans
34115	Cryptococcus neoformans
34869	Cryptococcus neoformans
34509	Cryptococcus neoformans
35376	Cryptococcus neoformans
35599	Cryptococcus neoformans
35057	Cryptococcus neoformans
35145	Cryptococcus neoformans
35068	Cryptococcus neoformans
35141	Cryptococcus neoformans
33779	Cryptococcus neoformans
35412	Cryptococcus neoformans
35276	Cryptococcus neoformans
35077	Cryptococcus neoformans
34609	Cryptococcus neoformans
34290	Cryptococcus neoformans
34768	Cryptococcus neoformans
34484	Cryptococcus neoformans
34634	Cryptococcus neoformans
35078	Cryptococcus neoformans
35413	Cryptococcus neoformans
35042	Cryptococcus neoformans
34476	Cryptococcus neoformans
35367	Cryptococcus neoformans
35459	Cryptococcus neoformans
35605	Cryptococcus neoformans
32757	Cryptococcus neoformans
33778	Cryptococcus neoformans
35716	Cryptococcus neoformans
34414	Cryptococcus neoformans
35668	Cryptococcus neoformans
35706	Cryptococcus neoformans
34027	Cryptococcus neoformans
33706	Cryptococcus neoformans
34618	Cryptococcus neoformans
34762	Cryptococcus neoformans
33928	Cryptococcus neoformans
35070	Cryptococcus neoformans
35649	Cryptococcus neoformans
35523	Cryptococcus neoformans
34889	Cryptococcus neoformans
34181	Cryptococcus neoformans
34676	Cryptococcus neoformans
33859	Cryptococcus neoformans
33755	Cryptococcus neoformans
35174	Cryptococcus neoformans
34886	Cryptococcus neoformans
34754	Cryptococcus neoformans
34003	Cryptococcus neoformans
35642	Cryptococcus neoformans
34645	Cryptococcus neoformans
35040	Cryptococcus neoformans
34751	Cryptococcus neoformans
35446	Cryptococcus neoformans
35702	Cryptococcus neoformans
34980	Cryptococcus neoformans
31213	Cryptococcus neoformans
34202	Cryptococcus neoformans
35338	Cryptococcus neoformans
34563	Cryptococcus neoformans
